Rank,Universitas,Negara,Score
318Top 1.6%,Ruhr University Bochum,Germany,76.6
319Top 1.6%,University of Nebraska–Lincoln,USA,76.5
320Top 1.6%,Wayne State University,USA,76.5
321Top 1.6%,Shenzhen University,China,76.5
322Top 1.6%,University of New Mexico,USA,76.5
323Top 1.6%,Northeastern University,USA,76.5
324Top 1.6%,University of York,United Kingdom,76.5
325Top 1.6%,Queen's University,Canada,76.5
326Top 1.6%,China Agricultural University,China,76.4
327Top 1.6%,London School of Economics and Political Science,United Kingdom,76.4
328Top 1.6%,Friedrich Schiller University Jena,Germany,76.4
329Top 1.7%,Polytechnic University of Milan,Italy,76.4
330Top 1.7%,Ulm University,Germany,76.4
331Top 1.7%,Northwestern Polytechnical University,China,76.4
332Top 1.7%,École des ponts ParisTech,France,76.4
333Top 1.7%,Curtin University,Australia,76.3
334Top 1.7%,Lanzhou University,China,76.3
335Top 1.7%,Durham University,United Kingdom,76.3
336Top 1.7%,University of Granada,Spain,76.3
337Top 1.7%,University of Technology Sydney,Australia,76.3
338Top 1.7%,Umeå University,Sweden,76.3
339Top 1.7%,University of Rome Tor Vergata,Italy,76.2
340Top 1.7%,University of Milano-Bicocca,Italy,76.2
341Top 1.7%,Lancaster University,United Kingdom,76.2
342Top 1.7%,Islamic Azad University,Iran,76.2
343Top 1.7%,Southern Methodist University,USA,76.2
344Top 1.7%,University of Campinas,Brazil,76.2
345Top 1.7%,Macquarie University,Australia,76.2
346Top 1.7%,University of Düsseldorf,Germany,76.1
347Top 1.7%,University of the Basque Country,Spain,76.1
348Top 1.7%,Dalhousie University,Canada,76.1
349Top 1.7%,Versailles Saint-Quentin-en-Yvelines University,France,76.1
350Top 1.8%,Aalto University,Finland,76.1
351Top 1.8%,University of South Carolina - Columbia,USA,76.1
352Top 1.8%,King Saud University,Saudi Arabia,76.1
353Top 1.8%,Temple University,USA,76.0
354Top 1.8%,Eindhoven University of Technology,Netherlands,76.0
355Top 1.8%,East China Normal University,China,76.0
356Top 1.8%,Aalborg University,Denmark,76.0
357Top 1.8%,Peking Union Medical College,China,76.0
358Top 1.8%,Capital Medical University,China,76.0
359Top 1.8%,University of Science and Technology Beijing,China,76.0
360Top 1.8%,Nantes University,France,76.0
361Top 1.8%,National Cheng Kung University,Taiwan,75.9
362Top 1.8%,University of Belgrade,Serbia,75.9
363Top 1.8%,Ben-Gurion University of the Negev,Israel,75.9
364Top 1.8%,Drexel University,USA,75.9
365Top 1.8%,Queen's University Belfast,United Kingdom,75.9
366Top 1.8%,University of St Andrews,United Kingdom,75.9
367Top 1.8%,Deakin University,Australia,75.9
368Top 1.8%,Hannover Medical School,Germany,75.8
369Top 1.8%,University of Dundee,United Kingdom,75.8
370Top 1.9%,Vrije Universiteit Brussel,Belgium,75.8
371Top 1.9%,Simon Fraser University,Canada,75.8
372Top 1.9%,Linköping University,Sweden,75.8
373Top 1.9%,Queensland University of Technology,Australia,75.8
374Top 1.9%,Technical University of Catalonia (UPC),Spain,75.8
375Top 1.9%,East China University of Science and Technology,China,75.7
376Top 1.9%,Federal University of Rio de Janeiro,Brazil,75.7
377Top 1.9%,University of Otago,New Zealand,75.7
378Top 1.9%,Griffith University,Australia,75.7
379Top 1.9%,Kyung Hee University,South Korea,75.7
380Top 1.9%,University of Wollongong,Australia,75.7
381Top 1.9%,Albert Einstein College of Medicine,USA,75.7
382Top 1.9%,University of Buenos Aires,Argentina,75.7
383Top 1.9%,Jagiellonian University,Poland,75.6
384Top 1.9%,Louisiana State University,USA,75.6
385Top 1.9%,Technical University of Berlin,Germany,75.6
386Top 1.9%,University of Parma,Italy,75.6
387Top 1.9%,University of Turku,Finland,75.6
388Top 1.9%,University of Malaya,Malaysia,75.6
389Top 1.9%,University of Marburg,Germany,75.6
390Top 1.9%,Pontifical Catholic University of Chile,Chile,75.5
391Top 2%,Pohang University of Science and Technology,South Korea,75.5
392Top 2%,Chalmers University of Technology,Sweden,75.5
393Top 2%,Justus Liebig University Giessen,Germany,75.5
394Top 2%,University of Saskatchewan,Canada,75.5
395Top 2%,University of Newcastle,Australia,75.5
396Top 2%,University of Perugia,Italy,75.5
397Top 2%,University of Tasmania,Australia,75.5
398Top 2%,University Paris-Est Créteil,France,75.4
399Top 2%,Nanjing Agricultural University,China,75.4
400Top 2%,Nanjing Medical University,China,75.4
401Top 2%,University of Innsbruck,Austria,75.4
402Top 2%,Pompeu Fabra University,Spain,75.4
403Top 2%,Swedish University of Agricultural Sciences,Sweden,75.4
404Top 2%,University of Victoria,Canada,75.4
405Top 2%,"University of Oklahoma, Norman",USA,75.4
406Top 2%,International Institute for Management Development,Switzerland,75.3
407Top 2%,Medical University of South Carolina,USA,75.3
408Top 2%,City College of New York,USA,75.3
409Top 2%,University of Warsaw,Poland,75.3
410Top 2%,University of Seville,Spain,75.3
411Top 2.1%,Shanghai University,China,75.3
412Top 2.1%,Nanjing University of Science and Technology,China,75.3
413Top 2.1%,National Research Center «Kurchatov Institute»,Russia,75.3
414Top 2.1%,Kyungpook National University,South Korea,75.2
415Top 2.1%,University of Bari,Italy,75.2
416Top 2.1%,University of Regensburg,Germany,75.2
417Top 2.1%,University of Ulsan,South Korea,75.2
418Top 2.1%,Northwest A&F University,China,75.2
419Top 2.1%,Indian Institute of Management Ahmedabad,India,75.2
420Top 2.1%,University of Coimbra,Portugal,75.2
